value_m
0.597
0.597
0.597
0.609
0.609
0.609
0.609
0.614
0.614
0.614
0.614
0.614
0.383
0.383
0.383
0.383
0.383
0.618
0.618
0.618
0.618
0.618
0.746
0.746
0.746
0.746
0.746
0.710
0.710
0.710
0.710
0.710
0.785
0.785
0.785
0.785
0.785
0.726
0.726
0.726
0.726
0.726
0.272
0.272
0.272
0.272
0.272
0.192
0.192
0.192
0.192
0.192
0.278
0.278
0.278
0.278
0.278
0.278
0.289
0.289
0.289
0.289
0.289
0.282
0.282
0.282
0.282
0.282
0.265
0.265
0.265
0.265
0.265
0.226
0.226
0.226
0.226
0.226
0.212
0.212
0.212
0.212
0.212
0.197
0.197
0.197
0.197
0.197
0.205
0.205
0.205
0.205
0.205
0.118
0.118
0.118
0.118
0.118
0.023
0.023
0.023
0.023
0.109
0.109
0.109
0.109
0.109
0.228
0.228
0.228
0.228
0.228
0.194
0.194
0.194
0.194
0.194
0.135
0.135
0.135
0.135
0.135
0.086
0.086
0.086
0.086
0.086
0.137
0.137
0.137
0.137
0.137
0.230
0.230
0.230
0.230
0.230
0.078
0.078
0.078
0.078
0.078
0.041
0.041
0.041
0.041
0.041
0.163
0.163
0.163
0.163
0.163
0.251
0.251
0.251
0.251
0.251
0.217
0.217
0.217
0.217
0.217
0.103
0.103
0.103
0.103
0.103
0.150
0.150
0.150
0.150
0.150
0.202
0.202
0.202
0.202
0.202
0.253
0.253
0.253
0.253
0.253
0.270
0.270
0.270
0.270
0.270
0.127
0.127
0.127
0.127
0.127
0.191
0.191
0.191
0.191
0.191
0.311
0.311
0.311
0.311
0.311
0.292
0.292
0.292
0.292
0.292
0.403
0.403
0.403
0.403
0.403
0.628
0.628
0.628
0.628
0.628
0.560
0.560
0.560
0.560
0.560
0.561
0.561
0.561
