value_m
0.635
0.635
0.635
0.635
0.632
0.632
0.632
0.632
0.632
0.633
0.633
0.633
0.633
0.633
0.631
0.631
0.631
0.631
0.631
0.631
0.632
0.632
0.632
0.632
0.632
0.625
0.625
0.625
0.682
0.682
0.682
0.682
0.682
0.652
0.652
0.652
0.652
0.652
0.627
0.627
0.627
0.627
0.627
0.627
0.555
0.555
0.555
0.555
0.555
0.540
0.540
0.540
0.540
0.540
0.472
0.472
0.472
0.472
0.472
0.283
0.283
0.283
0.283
0.283
0.221
0.221
0.221
0.221
0.221
0.291
0.291
0.291
0.291
0.291
0.514
0.514
0.514
0.514
0.514
0.640
0.640
0.640
0.640
0.640
0.734
0.734
0.734
0.734
0.734
0.735
0.735
0.735
0.735
0.735
0.616
0.616
0.616
0.616
0.616
0.594
0.594
0.594
0.594
0.594
0.655
0.655
0.655
0.655
0.655
0.697
0.697
0.697
0.697
0.697
0.563
0.563
0.563
0.563
0.563
0.272
0.272
0.272
0.272
0.272
0.544
0.544
0.544
0.544
0.544
0.495
0.495
0.495
0.495
0.495
0.247
0.247
0.247
0.247
0.247
0.437
0.437
0.437
0.437
0.437
0.632
0.632
0.632
0.632
0.632
0.666
0.666
0.666
0.666
0.666
0.650
0.650
0.650
0.650
0.650
0.585
0.585
0.585
0.585
0.585
0.386
0.386
0.386
0.386
0.386
0.459
0.459
0.459
0.459
0.459
0.580
0.580
0.580
0.580
0.580
0.490
0.490
0.490
0.490
0.490
0.373
0.373
0.373
0.373
0.373
0.582
0.582
0.582
0.582
0.582
0.375
0.375
0.375
0.375
0.375
0.427
0.427
0.427
0.427
0.427
0.576
0.576
0.576
0.576
0.576
0.700
0.700
0.700
0.700
0.700
0.709
0.709
0.709
0.709
0.709
0.679
0.679
0.679
0.679
0.679
0.678
