front_m,bottom_m,left_m,right_m,top_m,obstacle_within_0p20m_direction
0.597,0.008,0.505,0.635,0.929,bottom
0.597,0.008,0.505,0.635,1.038,bottom
0.597,0.008,0.506,0.635,1.038,bottom
0.609,0.008,0.506,0.635,1.038,bottom
0.609,0.008,0.506,0.632,1.038,bottom
0.609,0.051,0.506,0.632,1.038,bottom
0.609,0.051,0.506,0.632,1.047,bottom
0.614,0.051,0.506,0.632,1.047,bottom
0.614,0.051,0.504,0.632,1.047,bottom
0.614,0.051,0.504,0.633,1.047,bottom
0.614,0.053,0.504,0.633,1.047,bottom
0.614,0.053,0.504,0.633,1.182,bottom
0.383,0.053,0.504,0.633,1.182,bottom
0.383,0.053,0.510,0.633,1.182,bottom
0.383,0.053,0.510,0.631,1.182,bottom
0.383,0.059,0.510,0.631,1.182,bottom
0.383,0.059,0.510,0.631,1.093,bottom
0.618,0.059,0.510,0.631,1.093,bottom
0.618,0.059,0.509,0.631,1.093,bottom
0.618,0.054,0.509,0.631,1.093,bottom
0.618,0.054,0.509,0.632,1.093,bottom
0.618,0.054,0.509,0.632,0.675,bottom
0.746,0.054,0.509,0.632,0.675,bottom
0.746,0.121,0.509,0.632,0.675,bottom
0.746,0.121,0.581,0.632,0.675,bottom
0.746,0.121,0.581,0.625,0.675,bottom
0.746,0.121,0.581,0.625,1.010,bottom
0.710,0.121,0.581,0.625,1.010,bottom
0.710,0.121,0.581,0.682,1.010,bottom
0.710,0.280,0.581,0.682,1.010,none
0.710,0.280,0.547,0.682,1.010,none
0.710,0.280,0.547,0.682,0.734,none
0.785,0.280,0.547,0.682,0.734,none
0.785,0.280,0.547,0.652,0.734,none
0.785,0.585,0.547,0.652,0.734,none
0.785,0.585,0.500,0.652,0.734,none
0.785,0.585,0.500,0.652,0.538,none
0.726,0.585,0.500,0.652,0.538,none
0.726,0.585,0.500,0.627,0.538,none
0.726,0.791,0.500,0.627,0.538,none
0.726,0.791,0.396,0.627,0.538,none
0.726,0.791,0.396,0.627,0.315,none
0.272,0.791,0.396,0.627,0.315,none
0.272,0.999,0.396,0.627,0.315,none
0.272,0.999,0.396,0.555,0.315,none
0.272,0.999,0.356,0.555,0.315,none
0.272,0.999,0.356,0.555,0.218,none
0.192,0.999,0.356,0.555,0.218,front
0.192,0.961,0.356,0.555,0.218,front
0.192,0.961,0.356,0.540,0.218,front
0.192,0.961,0.285,0.540,0.218,front
0.192,0.961,0.285,0.540,0.294,front
0.278,0.961,0.285,0.540,0.294,none
0.278,0.922,0.285,0.540,0.294,none
0.278,0.922,0.285,0.472,0.294,none
0.278,0.922,0.414,0.472,0.294,none
0.278,0.922,0.414,0.472,0.278,none
0.278,0.939,0.414,0.472,0.278,none
0.289,0.939,0.414,0.472,0.278,none
0.289,0.939,0.414,0.283,0.278,none
0.289,0.939,0.531,0.283,0.278,none
0.289,1.148,0.531,0.283,0.278,none
0.289,1.148,0.531,0.283,0.223,none
0.282,1.148,0.531,0.283,0.223,none
0.282,1.148,0.531,0.221,0.223,none
0.282,1.148,0.543,0.221,0.223,none
0.282,1.114,0.543,0.221,0.223,none
0.282,1.114,0.543,0.221,0.252,none
0.265,1.114,0.543,0.221,0.252,none
0.265,1.114,0.543,0.291,0.252,none
0.265,1.114,0.473,0.291,0.252,none
0.265,1.080,0.473,0.291,0.252,none
0.265,1.080,0.473,0.291,0.287,none
0.226,1.080,0.473,0.291,0.287,none
0.226,1.080,0.473,0.514,0.287,none
0.226,1.080,0.343,0.514,0.287,none
0.226,1.076,0.343,0.514,0.287,none
0.226,1.076,0.343,0.514,0.293,none
0.212,1.076,0.343,0.514,0.293,none
0.212,1.076,0.343,0.640,0.293,none
0.212,1.076,0.207,0.640,0.293,none
0.212,1.104,0.207,0.640,0.293,none
0.212,1.104,0.207,0.640,0.281,none
0.197,1.104,0.207,0.640,0.281,front
0.197,1.104,0.207,0.734,0.281,front
0.197,1.104,0.114,0.734,0.281,left
0.197,1.093,0.114,0.734,0.281,left
0.197,1.093,0.114,0.734,0.286,left
0.205,1.093,0.114,0.734,0.286,left
0.205,1.093,0.114,0.735,0.286,left
0.205,1.093,0.184,0.735,0.286,left
0.205,1.036,0.184,0.735,0.286,left
0.205,1.036,0.184,0.735,0.228,left
0.118,1.036,0.184,0.735,0.228,front
0.118,1.036,0.184,0.616,0.228,front
0.118,1.036,0.266,0.616,0.228,front
0.118,1.029,0.266,0.616,0.228,front
0.118,1.029,0.266,0.616,0.253,front
0.023,1.029,0.266,0.616,0.253,front
0.023,1.029,0.266,0.594,0.253,front
0.023,1.029,0.365,0.594,0.253,front
0.023,0.914,0.365,0.594,0.253,front
0.109,0.914,0.365,0.594,0.253,front
0.109,0.914,0.365,0.594,0.357,front
0.109,0.914,0.365,0.655,0.357,front
0.109,0.914,0.418,0.655,0.357,front
0.109,0.822,0.418,0.655,0.357,front
0.228,0.822,0.418,0.655,0.357,none
0.228,0.822,0.418,0.655,0.299,none
0.228,0.822,0.418,0.697,0.299,none
0.228,0.822,0.429,0.697,0.299,none
0.228,0.831,0.429,0.697,0.299,none
0.194,0.831,0.429,0.697,0.299,front
0.194,0.831,0.429,0.697,0.375,front
0.194,0.831,0.429,0.563,0.375,front
0.194,0.831,0.371,0.563,0.375,front
0.194,0.858,0.371,0.563,0.375,front
0.135,0.858,0.371,0.563,0.375,front
0.135,0.858,0.371,0.563,0.397,front
0.135,0.858,0.371,0.272,0.397,front
0.135,0.858,0.713,0.272,0.397,front
0.135,0.836,0.713,0.272,0.397,front
0.086,0.836,0.713,0.272,0.397,front
0.086,0.836,0.713,0.272,0.431,front
0.086,0.836,0.713,0.544,0.431,front
0.086,0.836,0.425,0.544,0.431,front
0.086,0.831,0.425,0.544,0.431,front
0.137,0.831,0.425,0.544,0.431,front
0.137,0.831,0.425,0.544,0.415,front
0.137,0.831,0.425,0.495,0.415,front
0.137,0.831,0.231,0.495,0.415,front
0.137,0.789,0.231,0.495,0.415,front
0.230,0.789,0.231,0.495,0.415,none
0.230,0.789,0.231,0.495,0.424,none
0.230,0.789,0.231,0.247,0.424,none
0.230,0.789,0.323,0.247,0.424,none
0.230,0.783,0.323,0.247,0.424,none
0.078,0.783,0.323,0.247,0.424,front
0.078,0.783,0.323,0.247,0.385,front
0.078,0.783,0.323,0.437,0.385,front
0.078,0.783,0.664,0.437,0.385,front
0.078,0.801,0.664,0.437,0.385,front
0.041,0.801,0.664,0.437,0.385,front
0.041,0.801,0.664,0.437,0.331,front
0.041,0.801,0.664,0.632,0.331,front
0.041,0.801,0.454,0.632,0.331,front
0.041,0.819,0.454,0.632,0.331,front
0.163,0.819,0.454,0.632,0.331,front
0.163,0.819,0.454,0.632,0.423,front
0.163,0.819,0.454,0.666,0.423,front
0.163,0.819,0.249,0.666,0.423,front
0.163,0.920,0.249,0.666,0.423,front
0.251,0.920,0.249,0.666,0.423,none
0.251,0.920,0.249,0.666,0.323,none
0.251,0.920,0.249,0.650,0.323,none
0.251,0.920,0.394,0.650,0.323,none
0.251,1.066,0.394,0.650,0.323,none
0.217,1.066,0.394,0.650,0.323,none
0.217,1.066,0.394,0.650,0.190,top
0.217,1.066,0.394,0.585,0.190,top
0.217,1.066,0.294,0.585,0.190,top
0.217,1.187,0.294,0.585,0.190,top
0.103,1.187,0.294,0.585,0.190,front
0.103,1.187,0.294,0.585,0.074,top
0.103,1.187,0.294,0.386,0.074,top
0.103,1.187,0.317,0.386,0.074,top
0.103,1.165,0.317,0.386,0.074,top
0.150,1.165,0.317,0.386,0.074,top
0.150,1.165,0.317,0.386,0.154,front
0.150,1.165,0.317,0.459,0.154,front
0.150,1.165,0.504,0.459,0.154,front
0.150,0.988,0.504,0.459,0.154,front
0.202,0.988,0.504,0.459,0.154,top
0.202,0.988,0.504,0.459,0.351,none
0.202,0.988,0.504,0.580,0.351,none
0.202,0.988,0.462,0.580,0.351,none
0.202,0.833,0.462,0.580,0.351,none
0.253,0.833,0.462,0.580,0.351,none
0.253,0.833,0.462,0.580,0.457,none
0.253,0.833,0.462,0.490,0.457,none
0.253,0.833,0.379,0.490,0.457,none
0.253,0.776,0.379,0.490,0.457,none
0.270,0.776,0.379,0.490,0.457,none
0.270,0.776,0.379,0.490,0.411,none
0.270,0.776,0.379,0.373,0.411,none
0.270,0.776,0.732,0.373,0.411,none
0.270,0.760,0.732,0.373,0.411,none
0.127,0.760,0.732,0.373,0.411,front
0.127,0.760,0.732,0.373,0.415,front
0.127,0.760,0.732,0.582,0.415,front
0.127,0.760,0.483,0.582,0.415,front
0.127,0.739,0.483,0.582,0.415,front
0.191,0.739,0.483,0.582,0.415,front
0.191,0.739,0.483,0.582,0.346,front
0.191,0.739,0.483,0.375,0.346,front
0.191,0.739,0.450,0.375,0.346,front
0.191,0.709,0.450,0.375,0.346,front
0.311,0.709,0.450,0.375,0.346,none
0.311,0.709,0.450,0.375,0.401,none
0.311,0.709,0.450,0.427,0.401,none
0.311,0.709,0.381,0.427,0.401,none
0.311,0.660,0.381,0.427,0.401,none
0.292,0.660,0.381,0.427,0.401,none
0.292,0.660,0.381,0.427,0.462,none
0.292,0.660,0.381,0.576,0.462,none
0.292,0.660,0.597,0.576,0.462,none
0.292,0.574,0.597,0.576,0.462,none
0.403,0.574,0.597,0.576,0.462,none
0.403,0.574,0.597,0.576,0.656,none
0.403,0.574,0.597,0.700,0.656,none
0.403,0.574,0.529,0.700,0.656,none
0.403,0.189,0.529,0.700,0.656,bottom
0.628,0.189,0.529,0.700,0.656,bottom
0.628,0.189,0.529,0.700,0.677,bottom
0.628,0.189,0.529,0.709,0.677,bottom
0.628,0.189,0.459,0.709,0.677,bottom
0.628,0.015,0.459,0.709,0.677,bottom
0.560,0.015,0.459,0.709,0.677,bottom
0.560,0.015,0.459,0.709,0.746,bottom
0.560,0.015,0.459,0.679,0.746,bottom
0.560,0.015,0.478,0.679,0.746,bottom
0.560,0.048,0.478,0.679,0.746,bottom
