front_m,bottom_m,left_m,right_m,top_m,obstacle_within_0p20m_direction
,,,,1.968,none
0.310,,,,1.968,none
0.310,,,0.076,1.968,right
0.310,,0.371,0.076,1.968,right
0.310,,0.371,0.076,1.996,right
0.303,,0.371,0.076,1.996,right
0.303,,0.371,0.077,1.996,right
0.303,,0.374,0.077,1.996,right
0.303,0.025,0.374,0.077,1.996,bottom
0.303,0.025,0.374,0.077,1.989,bottom
0.303,0.025,0.374,0.077,1.989,bottom
0.303,0.025,0.374,0.073,1.989,bottom
0.303,0.025,0.372,0.073,1.989,bottom
0.303,0.039,0.372,0.073,1.989,bottom
0.303,0.039,0.372,0.073,1.997,bottom
0.302,0.039,0.372,0.073,1.997,bottom
0.302,0.039,0.372,0.077,1.997,bottom
0.302,0.039,0.374,0.077,1.997,bottom
0.302,0.040,0.374,0.077,1.997,bottom
0.302,0.040,0.374,0.077,1.986,bottom
0.303,0.040,0.374,0.077,1.986,bottom
0.303,0.040,0.374,0.077,1.986,bottom
0.303,0.040,0.375,0.077,1.986,bottom
0.303,0.037,0.375,0.077,1.986,bottom
0.303,0.037,0.375,0.077,1.969,bottom
0.301,0.037,0.375,0.077,1.969,bottom
0.301,0.037,0.375,0.078,1.969,bottom
0.301,0.037,0.375,0.078,1.969,bottom
0.301,0.037,0.375,0.078,1.969,bottom
0.301,0.037,0.375,0.078,1.977,bottom
0.299,0.037,0.375,0.078,1.977,bottom
0.299,0.037,0.375,0.078,1.977,bottom
0.299,0.037,0.373,0.078,1.977,bottom
0.299,0.039,0.373,0.078,1.977,bottom
0.299,0.039,0.373,0.078,1.972,bottom
0.302,0.039,0.373,0.078,1.972,bottom
0.302,0.039,0.373,0.079,1.972,bottom
0.302,0.039,0.374,0.079,1.972,bottom
0.302,0.040,0.374,0.079,1.972,bottom
0.302,0.040,0.374,0.079,1.986,bottom
0.306,0.040,0.374,0.079,1.986,bottom
0.306,0.040,0.374,0.078,1.986,bottom
0.306,0.040,0.374,0.078,1.986,bottom
0.306,0.039,0.374,0.078,1.986,bottom
0.306,0.039,0.374,0.078,1.978,bottom
0.303,0.039,0.374,0.078,1.978,bottom
0.303,0.039,0.374,0.076,1.978,bottom
0.303,0.039,0.372,0.076,1.978,bottom
0.303,0.039,0.372,0.076,1.978,bottom
0.303,0.039,0.372,0.076,1.985,bottom
0.303,0.039,0.372,0.076,1.985,bottom
0.303,0.039,0.372,0.074,1.985,bottom
0.303,0.039,0.374,0.074,1.985,bottom
0.303,0.037,0.374,0.074,1.985,bottom
0.303,0.037,0.374,0.074,1.964,bottom
0.300,0.037,0.374,0.074,1.964,bottom
0.300,0.037,0.374,0.079,1.964,bottom
0.300,0.037,0.371,0.079,1.964,bottom
0.300,0.037,0.371,0.079,1.964,bottom
0.300,0.037,0.371,0.079,1.977,bottom
0.301,0.037,0.371,0.079,1.977,bottom
0.301,0.037,0.371,0.078,1.977,bottom
0.301,0.037,0.374,0.078,1.977,bottom
0.301,0.038,0.374,0.078,1.977,bottom
0.301,0.038,0.374,0.078,1.989,bottom
0.304,0.038,0.374,0.078,1.989,bottom
0.304,0.038,0.374,0.075,1.989,bottom
0.304,0.038,0.374,0.075,1.989,bottom
0.304,0.038,0.374,0.075,1.989,bottom
0.304,0.038,0.374,0.075,1.990,bottom
0.304,0.038,0.374,0.075,1.990,bottom
0.304,0.038,0.374,0.076,1.990,bottom
0.304,0.038,0.373,0.076,1.990,bottom
0.304,0.039,0.373,0.076,1.990,bottom
0.304,0.039,0.373,0.076,1.978,bottom
0.304,0.039,0.373,0.076,1.978,bottom
0.304,0.039,0.373,0.076,1.978,bottom
0.304,0.038,0.373,0.076,1.978,bottom
0.304,0.038,0.373,0.076,1.978,bottom
0.304,0.038,0.373,0.076,1.982,bottom
0.303,0.038,0.373,0.076,1.982,bottom
0.303,0.038,0.373,0.076,1.982,bottom
0.303,0.037,0.373,0.076,1.982,bottom
0.303,0.037,0.373,0.076,1.982,bottom
0.303,0.037,0.373,0.076,1.998,bottom
0.305,0.037,0.373,0.076,1.998,bottom
0.305,0.037,0.373,0.076,1.998,bottom
0.305,0.039,0.373,0.076,1.998,bottom
0.305,0.039,0.374,0.076,1.998,bottom
0.305,0.039,0.374,0.076,1.984,bottom
0.302,0.039,0.374,0.076,1.984,bottom
0.302,0.039,0.374,0.077,1.984,bottom
0.302,0.039,0.374,0.077,1.984,bottom
0.302,0.039,0.373,0.077,1.984,bottom
0.302,0.039,0.373,0.077,1.976,bottom
0.304,0.039,0.373,0.077,1.976,bottom
0.304,0.039,0.373,0.077,1.976,bottom
0.304,0.039,0.373,0.077,1.976,bottom
