value_m
0.505
0.505
0.506
0.506
0.506
0.506
0.506
0.506
0.504
0.504
0.504
0.504
0.504
0.510
0.510
0.510
0.510
0.510
0.509
0.509
0.509
0.509
0.509
0.509
0.581
0.581
0.581
0.581
0.581
0.581
0.547
0.547
0.547
0.547
0.547
0.500
0.500
0.500
0.500
0.500
0.396
0.396
0.396
0.396
0.396
0.356
0.356
0.356
0.356
0.356
0.285
0.285
0.285
0.285
0.285
0.414
0.414
0.414
0.414
0.414
0.531
0.531
0.531
0.531
0.531
0.543
0.543
0.543
0.543
0.543
0.473
0.473
0.473
0.473
0.473
0.343
0.343
0.343
0.343
0.343
0.207
0.207
0.207
0.207
0.207
0.114
0.114
0.114
0.114
0.114
0.184
0.184
0.184
0.184
0.184
0.266
0.266
0.266
0.266
0.266
0.365
0.365
0.365
0.365
0.365
0.418
0.418
0.418
0.418
0.418
0.429
0.429
0.429
0.429
0.429
0.371
0.371
0.371
0.371
0.371
0.713
0.713
0.713
0.713
0.713
0.425
0.425
0.425
0.425
0.425
0.231
0.231
0.231
0.231
0.231
0.323
0.323
0.323
0.323
0.323
0.664
0.664
0.664
0.664
0.664
0.454
0.454
0.454
0.454
0.454
0.249
0.249
0.249
0.249
0.249
0.394
0.394
0.394
0.394
0.394
0.294
0.294
0.294
0.294
0.294
0.317
0.317
0.317
0.317
0.317
0.504
0.504
0.504
0.504
0.504
0.462
0.462
0.462
0.462
0.462
0.379
0.379
0.379
0.379
0.379
0.732
0.732
0.732
0.732
0.732
0.483
0.483
0.483
0.483
0.483
0.450
0.450
0.450
0.450
0.450
0.381
0.381
0.381
0.381
0.381
0.597
0.597
0.597
0.597
0.597
0.529
0.529
0.529
0.529
0.529
0.459
0.459
0.459
0.459
0.459
0.478
0.478
0.478
0.478
0.478
