value_m
0.008
0.008
0.008
0.008
0.008
0.051
0.051
0.051
0.051
0.051
0.053
0.053
0.053
0.053
0.053
0.059
0.059
0.059
0.059
0.054
0.054
0.054
0.054
0.121
0.121
0.121
0.121
0.121
0.121
0.280
0.280
0.280
0.280
0.280
0.585
0.585
0.585
0.585
0.585
0.791
0.791
0.791
0.791
0.999
0.999
0.999
0.999
0.999
0.961
0.961
0.961
0.961
0.961
0.922
0.922
0.922
0.922
0.939
0.939
0.939
0.939
1.148
1.148
1.148
1.148
1.148
1.114
1.114
1.114
1.114
1.114
1.080
1.080
1.080
1.080
1.080
1.076
1.076
1.076
1.076
1.076
1.104
1.104
1.104
1.104
1.104
1.093
1.093
1.093
1.093
1.093
1.036
1.036
1.036
1.036
1.036
1.029
1.029
1.029
1.029
1.029
0.914
0.914
0.914
0.914
0.914
0.822
0.822
0.822
0.822
0.822
0.831
0.831
0.831
0.831
0.831
0.858
0.858
0.858
0.858
0.858
0.836
0.836
0.836
0.836
0.836
0.831
0.831
0.831
0.831
0.831
0.789
0.789
0.789
0.789
0.789
0.783
0.783
0.783
0.783
0.783
0.801
0.801
0.801
0.801
0.801
0.819
0.819
0.819
0.819
0.819
0.920
0.920
0.920
0.920
0.920
1.066
1.066
1.066
1.066
1.066
1.187
1.187
1.187
1.187
1.187
1.165
1.165
1.165
1.165
1.165
0.988
0.988
0.988
0.988
0.988
0.833
0.833
0.833
0.833
0.833
0.776
0.776
0.776
0.776
0.776
0.760
0.760
0.760
0.760
0.760
0.739
0.739
0.739
0.739
0.739
0.709
0.709
0.709
0.709
0.709
0.660
0.660
0.660
0.660
0.660
0.574
0.574
0.574
0.574
0.574
0.189
0.189
0.189
0.189
0.189
0.015
0.015
0.015
0.015
0.015
0.048
0.048
0.048
0.048
