step,roll,pitch,yaw,throttle,aux1,aux2
159,1500,1500,1500,1000,1800,1800
160,1500,1500,1500,1000,1800,1800
161,1500,1500,1500,1000,1800,1800
162,1500,1500,1500,1000,1800,1800
163,1500,1500,1500,1000,1800,1800
164,1500,1500,1500,1000,1800,1800
165,1500,1500,1500,1000,1800,1800
166,1500,1500,1500,1000,1800,1800
167,1500,1500,1500,1000,1800,1800
168,1500,1500,1500,1000,1800,1800
169,1500,1500,1500,1000,1800,1800
170,1500,1500,1500,1000,1800,1800
171,1500,1500,1500,1000,1800,1800
172,1500,1500,1500,1000,1800,1800
173,1500,1500,1500,1000,1800,1800
174,1500,1500,1500,1000,1800,1800
175,1500,1500,1500,1000,1800,1800
176,1500,1500,1500,1305,1800,1800
177,1500,1500,1500,1310,1800,1800
178,1500,1500,1500,1315,1800,1800
179,1500,1500,1500,1320,1800,1800
180,1500,1500,1500,1325,1800,1800
181,1500,1500,1500,1330,1800,1800
182,1500,1500,1500,1335,1800,1800
183,1500,1500,1500,1340,1800,1800
184,1500,1500,1500,1345,1800,1800
185,1500,1500,1500,1350,1800,1800
186,1500,1500,1500,1355,1800,1800
187,1500,1500,1500,1360,1800,1800
188,1500,1500,1500,1365,1800,1800
189,1500,1500,1500,1370,1800,1800
190,1500,1500,1500,1375,1800,1800
191,1500,1500,1500,1380,1800,1800
192,1500,1500,1500,1385,1800,1800
193,1500,1500,1500,1390,1800,1800
194,1500,1500,1500,1395,1800,1800
195,1500,1500,1500,1400,1800,1800
196,1500,1500,1500,1405,1800,1800
197,1500,1500,1500,1410,1800,1800
198,1500,1500,1500,1415,1800,1800
199,1500,1500,1500,1420,1800,1800
200,1500,1500,1500,1425,1800,1800
201,1500,1500,1500,1430,1800,1800
202,1500,1500,1500,1435,1800,1800
203,1500,1500,1500,1440,1800,1800
204,1500,1500,1500,1445,1800,1800
205,1500,1500,1500,1450,1800,1800
206,1500,1500,1500,1450,1800,1800
207,1500,1500,1500,1450,1800,1800
208,1500,1500,1500,1450,1800,1800
209,1500,1500,1500,1450,1800,1800
210,1500,1500,1500,1450,1800,1800
211,1500,1500,1500,1450,1800,1800
212,1500,1500,1500,1450,1800,1800
213,1500,1500,1500,1450,1800,1800
214,1500,1500,1500,1450,1800,1800
215,1500,1500,1500,1450,1800,1800
216,1500,1500,1500,1450,1800,1800
217,1500,1500,1500,1450,1800,1800
218,1500,1500,1500,1450,1800,1800
219,1500,1500,1500,1450,1800,1800
220,1500,1500,1500,1450,1800,1800
221,1500,1500,1500,1450,1800,1800
222,1500,1500,1500,1450,1800,1800
223,1500,1500,1500,1450,1800,1800
224,1500,1500,1500,1450,1800,1800
225,1500,1500,1500,1450,1800,1800
