step,roll,pitch,yaw,throttle,aux1,aux2
150,1580,1460,1525,1390,1800,1800
151,1595,1460,1525,1389,1800,1800
152,1620,1460,1525,1389,1800,1800
153,1620,1460,1525,1293,1800,1800
154,1620,1506,1525,1293,1800,1800
155,1620,1506,1525,1250,1800,1800
156,1620,1506,1525,1250,1800,1800
157,1615,1506,1525,1250,1800,1800
158,1615,1506,1525,1200,1800,1800
159,1615,1506,1525,1200,1800,1800
160,1615,1506,1525,1200,1800,1800
161,1585,1506,1525,1200,1800,1800
162,1620,1506,1525,1200,1800,1800
163,1620,1506,1525,1200,1800,1800
164,1620,1460,1529,1200,1800,1800
165,1620,1460,1529,1200,1800,1800
166,1541,1460,1529,1200,1800,1800
167,1531,1460,1529,1200,1800,1800
168,1531,1460,1529,1200,1800,1800
169,1531,1460,1525,1200,1800,1800
170,1531,1460,1525,1200,1800,1800
171,1563,1460,1525,1200,1800,1800
172,1480,1460,1475,1200,1800,1800
173,1480,1460,1475,1208,1800,1800
174,1480,1506,1475,1207,1800,1800
175,1480,1506,1475,1206,1800,1800
176,1534,1506,1525,1206,1800,1800
177,1553,1506,1525,1205,1800,1800
178,1553,1506,1525,1351,1800,1800
179,1553,1506,1525,1351,1800,1800
180,1553,1506,1525,1352,1800,1800
181,1512,1506,1525,1352,1800,1800
182,1549,1506,1525,1352,1800,1800
183,1549,1506,1525,1406,1800,1800
184,1549,1506,1525,1406,1800,1800
185,1549,1506,1525,1406,1800,1800
186,1498,1506,1475,1406,1800,1800
187,1380,1506,1475,1406,1800,1800
188,1380,1506,1475,1422,1800,1800
189,1380,1460,1474,1422,1800,1800
190,1380,1460,1474,1422,1800,1800
191,1433,1460,1474,1422,1800,1800
192,1544,1460,1526,1422,1800,1800
193,1544,1460,1526,1431,1800,1800
194,1544,1460,1525,1431,1800,1800
195,1544,1460,1525,1250,1800,1800
196,1452,1460,1475,1250,1800,1800
197,1467,1460,1475,1250,1800,1800
198,1467,1460,1475,1250,1800,1800
199,1467,1506,1475,1250,1800,1800
200,1467,1506,1475,1413,1800,1800
201,1490,1506,1475,1413,1800,1800
202,1520,1506,1525,1413,1800,1800
203,1520,1506,1525,1413,1800,1800
204,1520,1506,1525,1413,1800,1800
205,1520,1506,1525,1490,1800,1800
206,1587,1506,1525,1490,1800,1800
207,1491,1506,1475,1490,1800,1800
208,1491,1506,1475,1490,1800,1800
209,1495,1538,1500,1490,1800,1800
210,1495,1538,1500,1606,1800,1800
211,1525,1538,1500,1606,1800,1800
212,1542,1538,1500,1607,1800,1800
213,1542,1538,1500,1700,1800,1800
214,1542,1538,1500,1700,1800,1800
215,1542,1538,1500,1700,1800,1800
216,1544,1538,1500,1700,1800,1800
217,1562,1538,1500,1700,1800,1800
218,1562,1538,1500,1700,1800,1800
219,1562,1538,1500,1700,1800,1800
220,1562,1538,1500,1700,1800,1800
221,1555,1538,1500,1700,1800,1800
222,1550,1538,1500,1700,1800,1800
223,1550,1538,1500,1700,1800,1800
224,1550,1538,1500,1700,1800,1800
225,1550,1538,1500,1700,1800,1800
226,1550,1538,1500,1700,1800,1800
227,1500,1538,1500,1450,1800,1800
